GSM4641272 	wild-type_mock_T12h_rep1
GSM4641273 	wild-type_mock_T12h_rep2
GSM4641274 	wild-type_mock_T12h_rep3
GSM4641275 	wild-type_mock_T12h_rep4
GSM4641276 	wild-type_mock_T12h_rep5
GSM4641277 	wild-type_infected_T12h_rep1
GSM4641278 	wild-type_infected_T12h_rep2
GSM4641279 	wild-type_infected_T12h_rep3
GSM4641280 	wild-type_infected_T12h_rep4
GSM4641281 	wild-type_infected_T12h_rep5
GSM4641282 	wild-type_mock_T24h_rep1
GSM4641283 	wild-type_mock_T24h_rep2
GSM4641284 	wild-type_mock_T24h_rep3
GSM4641285 	wild-type_mock_T24h_rep4
GSM4641286 	wild-type_mock_T24h_rep5
GSM4641287 	wild-type_infected_T24h_rep1
GSM4641288 	wild-type_infected_T24h_rep2
GSM4641289 	wild-type_infected_T24h_rep3
GSM4641290 	wild-type_infected_T24h_rep4
GSM4641291 	wild-type_infected_T24h_rep5
GSM4641292 	wild-type_mock_T48h_rep1
GSM4641293 	wild-type_mock_T48h_rep2
GSM4641294 	wild-type_mock_T48h_rep3
GSM4641295 	wild-type_mock_T48h_rep4
GSM4641296 	wild-type_mock_T48h_rep5
GSM4641297 	wild-type_infected_T48h_rep1
GSM4641298 	wild-type_infected_T48h_rep2
GSM4641299 	wild-type_infected_T48h_rep3
GSM4641300 	wild-type_infected_T48h_rep4
GSM4641301 	wild-type_infected_T48h_rep5
GSM4641302 	wild-type_mock_T5d_rep1
GSM4641303 	wild-type_mock_T5d_rep2
GSM4641304 	wild-type_mock_T5d_rep3
GSM4641305 	wild-type_mock_T5d_rep4
GSM4641306 	wild-type_mock_T5d_rep5
GSM4641307 	wild-type_infected_T5d_rep1
GSM4641308 	wild-type_infected_T5d_rep2
GSM4641309 	wild-type_infected_T5d_rep3
GSM4641310 	wild-type_infected_T5d_rep4
GSM4641311 	wild-type_infected_T5d_rep5
GSM4641312 	wild-type_mock_T10d_rep1
GSM4641313 	wild-type_mock_T10d_rep2
GSM4641314 	wild-type_mock_T10d_rep3
GSM4641315 	wild-type_mock_T10d_rep4
GSM4641316 	wild-type_mock_T10d_rep5
GSM4641317 	wild-type_infected_T10d_rep1
GSM4641318 	wild-type_infected_T10d_rep2
GSM4641319 	wild-type_infected_T10d_rep3
GSM4641320 	wild-type_infected_T10d_rep4
GSM4641321 	wild-type_infected_T10d_rep5
GSM4641322 	wild-type_mock_T20d_rep1
GSM4641323 	wild-type_mock_T20d_rep2
GSM4641324 	wild-type_mock_T20d_rep3
GSM4641325 	wild-type_mock_T20d_rep4
GSM4641326 	wild-type_mock_T20d_rep5
GSM4641327 	wild-type_infected_T20d_rep1
GSM4641328 	wild-type_infected_T20d_rep2
GSM4641329 	wild-type_infected_T20d_rep3
GSM4641330 	wild-type_infected_T20d_rep4
GSM4641331 	wild-type_infected_T20d_rep5
GSM4641332 	wild-type_mock_T30d_rep1
GSM4641333 	wild-type_mock_T30d_rep2
GSM4641334 	wild-type_mock_T30d_rep3
GSM4641335 	wild-type_mock_T30d_rep4
GSM4641336 	wild-type_mock_T30d_rep5
GSM4641337 	wild-type_infected_T30d_rep1
GSM4641338 	wild-type_infected_T30d_rep2
GSM4641339 	wild-type_infected_T30d_rep3
GSM4641340 	wild-type_infected_T30d_rep4
GSM4641341 	wild-type_infected_T30d_rep5
GSM4641342 	35S::AtCKX2_mock_T12h_rep1
GSM4641343 	35S::AtCKX2_mock_T12h_rep2
GSM4641344 	35S::AtCKX2_mock_T12h_rep3
GSM4641345 	35S::AtCKX2_mock_T12h_rep4
GSM4641346 	35S::AtCKX2_mock_T12h_rep5
GSM4641347 	35S::AtCKX2_infected_T12h_rep1
GSM4641348 	35S::AtCKX2_infected_T12h_rep2
GSM4641349 	35S::AtCKX2_infected_T12h_rep3
GSM4641350 	35S::AtCKX2_infected_T12h_rep4
GSM4641351 	35S::AtCKX2_infected_T12h_rep5
GSM4641352 	35S::AtCKX2_mock_T24h_rep1
GSM4641353 	35S::AtCKX2_mock_T24h_rep2
GSM4641354 	35S::AtCKX2_mock_T24h_rep3
GSM4641355 	35S::AtCKX2_mock_T24h_rep4
GSM4641356 	35S::AtCKX2_mock_T24h_rep5
GSM4641357 	35S::AtCKX2_infected_T24h_rep1
GSM4641358 	35S::AtCKX2_infected_T24h_rep2
GSM4641359 	35S::AtCKX2_infected_T24h_rep3
GSM4641360 	35S::AtCKX2_infected_T24h_rep4
GSM4641361 	35S::AtCKX2_infected_T24h_rep5
GSM4641362 	35S::AtCKX2_mock_T48h_rep1
GSM4641363 	35S::AtCKX2_mock_T48h_rep2
GSM4641364 	35S::AtCKX2_mock_T48h_rep3
GSM4641365 	35S::AtCKX2_mock_T48h_rep4
GSM4641366 	35S::AtCKX2_mock_T48h_rep5
GSM4641367 	35S::AtCKX2_infected_T48h_rep1
GSM4641368 	35S::AtCKX2_infected_T48h_rep2
GSM4641369 	35S::AtCKX2_infected_T48h_rep3
GSM4641370 	35S::AtCKX2_infected_T48h_rep4
GSM4641371 	35S::AtCKX2_infected_T48h_rep5
GSM4641372 	35S::AtCKX2_mock_T5d_rep1
GSM4641373 	35S::AtCKX2_mock_T5d_rep2
GSM4641374 	35S::AtCKX2_mock_T5d_rep3
GSM4641375 	35S::AtCKX2_mock_T5d_rep4
GSM4641376 	35S::AtCKX2_mock_T5d_rep5
GSM4641377 	35S::AtCKX2_infected_T5d_rep1
GSM4641378 	35S::AtCKX2_infected_T5d_rep2
GSM4641379 	35S::AtCKX2_infected_T5d_rep3
GSM4641380 	35S::AtCKX2_infected_T5d_rep4
GSM4641381 	35S::AtCKX2_infected_T5d_rep5
GSM4641382 	35S::AtCKX2_mock_T10d_rep1
GSM4641383 	35S::AtCKX2_mock_T10d_rep2
GSM4641384 	35S::AtCKX2_mock_T10d_rep3
GSM4641385 	35S::AtCKX2_mock_T10d_rep4
GSM4641386 	35S::AtCKX2_mock_T10d_rep5
GSM4641387 	35S::AtCKX2_infected_T10d_rep1
GSM4641388 	35S::AtCKX2_infected_T10d_rep2
GSM4641389 	35S::AtCKX2_infected_T10d_rep3
GSM4641390 	35S::AtCKX2_infected_T10d_rep4
GSM4641391 	35S::AtCKX2_infected_T10d_rep5
GSM4641392 	35S::AtCKX2_mock_T30d_rep1
GSM4641393 	35S::AtCKX2_mock_T30d_rep2
GSM4641394 	35S::AtCKX2_mock_T30d_rep3
GSM4641395 	35S::AtCKX2_mock_T30d_rep4
GSM4641396 	35S::AtCKX2_mock_T30d_rep5
GSM4641397 	35S::AtCKX2_infected_T30d_rep1
GSM4641398 	35S::AtCKX2_infected_T30d_rep2
GSM4641399 	35S::AtCKX2_infected_T30d_rep3
GSM4641400 	35S::AtCKX2_infected_T30d_rep4
GSM4641401 	35S::AtCKX2_infected_T30d_rep5
