Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,cutivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time,Treatment
SRR12097025,RNA-Seq,50,543988950,PRJNA642101,SAMN15376862,222899645,GEO,public,Micro-Tom,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622465,Wild-type,GSM4641272,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T12:18:00Z,1,GSM4641272,Shoots,SRP269007,T12h,Mock
SRR12097026,RNA-Seq,50,571233350,PRJNA642101,SAMN15376954,233641574,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622466,Wild-type,GSM4641273,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641273,Shoots,SRP269007,T12h,Mock
SRR12097027,RNA-Seq,50,640674600,PRJNA642101,SAMN15376952,261634304,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8622467,Wild-type,GSM4641274,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:49:00Z,1,GSM4641274,Shoots,SRP269007,T12h,Mock
SRR12097028,RNA-Seq,50,638942900,PRJNA642101,SAMN15376951,261645339,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622468,Wild-type,GSM4641275,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641275,Shoots,SRP269007,T12h,Mock
SRR12097029,RNA-Seq,50,659327600,PRJNA642101,SAMN15376948,269827149,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622469,Wild-type,GSM4641276,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641276,Shoots,SRP269007,T12h,Mock
SRR12097030,RNA-Seq,50,398453900,PRJNA642101,SAMN15376946,163203957,GEO,public,Micro-Tom,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622470,Wild-type,GSM4641277,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641277,Shoots,SRP269007,T12h,Infected
SRR12097031,RNA-Seq,50,237806700,PRJNA642101,SAMN15376945,98214059,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8622471,Wild-type,GSM4641278,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641278,Shoots,SRP269007,T12h,Infected
SRR12097032,RNA-Seq,50,263269950,PRJNA642101,SAMN15376943,108352699,GEO,public,Micro-Tom,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622472,Wild-type,GSM4641279,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641279,Shoots,SRP269007,T12h,Infected
SRR12097033,RNA-Seq,50,413935650,PRJNA642101,SAMN15376941,169921473,GEO,public,Micro-Tom,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8622473,Wild-type,GSM4641280,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641280,Shoots,SRP269007,T12h,Infected
SRR12097034,RNA-Seq,50,370789400,PRJNA642101,SAMN15376940,152266646,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8622474,Wild-type,GSM4641281,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641281,Shoots,SRP269007,T12h,Infected
